0,191.22
0.002,190.04
0.004,188.75
0.006,187.54
0.008,186.43
0.01,184.9
0.012,182.43
0.014,179.18
0.016,175.93
0.018,173.35
0.02,171.63
0.022,170.53
0.024,169.7
0.026,168.82
0.028,167.63
0.03,166.18
0.032,164.76
0.034,163.74
0.036,163.23
0.038,162.91
0.04,162.32
0.042,161.42
0.044,160.64
0.046,160.26
0.048,159.98
0.05,159.26
0.052,157.95
0.054,156.52
0.056,155.56
0.058,155.16
0.06,154.91
0.062,154.41
0.064,153.61
0.066,152.72
0.068,151.85
0.07,150.97
0.072,150.19
0.074,149.56
0.076,148.87
0.078,147.97
0.08,147.07
0.082,146.45
0.084,145.95
0.086,145.14
0.088,144.11
0.09,143.42
0.092,143.29
0.094,143.1
0.096,142.3
0.098,141.31
0.1,140.93
0.102,141.15
0.104,141.06
0.106,140.51
0.108,140.88
0.11,143.85
0.112,149.78
0.114,157.42
0.116,165.11
0.118,171.69
0.12,176.91
0.122,181.38
0.124,185.74
0.126,189.89
0.128,193.1
0.13,194.93
0.132,195.83
0.134,196.55
0.136,197.11
0.138,196.94
0.14,195.81
0.142,194.19
0.144,192.5
0.146,190.81
0.148,189.08
0.15,187.45
0.152,185.91
0.154,184.06
0.156,181.51
0.158,178.28
0.16,174.89
0.162,172.06
0.164,170.13
0.166,168.94
0.168,167.99
0.17,167.03
0.172,166.1
0.174,165.22
0.176,164.28
0.178,163.37
0.18,162.69
0.182,162.22
0.184,161.66
0.186,160.87
0.188,160.15
0.19,159.77
0.192,159.43
0.194,158.73
0.196,157.77
0.198,156.96
0.2,156.35
0.202,155.67
0.204,154.75
0.206,153.8
0.208,153.1
0.21,152.6
0.212,152.02
0.214,151.19
0.216,150.26
0.218,149.43
0.22,148.74
0.222,147.97
0.224,147.06
0.226,146.14
0.228,145.52
0.23,145.18
0.232,144.83
0.234,144.28
0.236,143.62
0.238,143.09
0.24,142.66
0.242,142.31
0.244,142.12
0.246,142.13
0.248,142.02
0.25,141.31
0.252,140.39
0.254,140.97
0.256,144.68
0.258,151.38
0.26,159.1
0.262,165.95
0.264,171.61
0.266,176.86
0.268,182.05
0.27,186.8
0.272,190.66
0.274,193.6
0.276,195.81
0.278,197.22
0.28,197.59
0.282,196.9
0.284,195.41
0.286,193.6
0.288,191.82
0.29,190.28
0.292,188.79
0.294,187.1
0.296,185.1
0.298,182.93
0.3,180.67
0.302,177.98
0.304,174.62
0.306,171.09
0.308,168.27
0.31,166.53
0.312,165.39
0.314,164.18
0.316,162.82
0.318,161.69
0.32,160.93
0.322,160.27
0.324,159.42
0.326,158.5
0.328,157.86
0.33,157.47
0.332,156.93
0.334,156.06
0.336,155.15
0.338,154.52
0.34,154.09
0.342,153.54
0.344,152.84
0.346,152.06
0.348,151.25
0.35,150.35
0.352,149.39
0.354,148.54
0.356,147.77
0.358,147.04
0.36,146.34
0.362,145.76
0.364,145.27
0.366,144.68
0.368,143.93
0.37,143.14
0.372,142.39
0.374,141.63
0.376,140.74
0.378,139.81
0.38,138.97
0.382,138.24
0.384,137.5
0.386,136.77
0.388,136.3
0.39,136.21
0.392,136.3
0.394,135.99
0.396,135.16
0.398,134.81
0.4,136.65
0.402,141.55
0.404,148.57
0.406,155.77
0.408,161.89
0.41,167.03
0.412,171.81
0.414,176.36
0.416,180.37
0.418,183.56
0.42,185.94
0.422,187.65
0.424,188.69
0.426,188.93
0.428,188.32
0.43,187.05
0.432,185.65
0.434,184.39
0.436,183.06
0.438,181.27
0.44,179.06
0.442,176.81
0.444,174.59
0.446,171.86
0.448,168.44
0.45,165.02
0.452,162.59
0.454,161.4
0.456,160.78
0.458,160.05
0.46,159.19
0.462,158.41
0.464,157.72
0.466,157.02
0.468,156.38
0.47,155.88
0.472,155.39
0.474,154.75
0.476,154.11
0.478,153.74
0.48,153.57
0.482,153.28
0.484,152.61
0.486,151.74
0.488,150.93
0.49,150.26
0.492,149.64
0.494,149.03
0.496,148.4
0.498,147.72
0.5,146.86
0.502,145.84
0.504,144.88
