1.15	-0.001118721	4.81775E-07	-0.001119203
1.16	-0.001062112	4.34233E-07	-0.001062546
1.17	-0.001008816	3.91731E-07	-0.001009208
1.18	-0.000958614	3.53699E-07	-0.000958967
1.19	-0.000911301	3.19635E-07	-0.00091162
1.2	-0.000866689	2.89097E-07	-0.000866979
1.21	-0.000824605	2.61694E-07	-0.000824866
1.22	-0.000784884	2.37083E-07	-0.000785121
1.23	-0.000747378	2.1496E-07	-0.000747593
1.24	-0.000711946	1.95055E-07	-0.000712141
1.25	-0.000678457	1.77132E-07	-0.000678634
1.26	-0.000646792	1.6098E-07	-0.000646953
1.27	-0.000616837	1.46411E-07	-0.000616983
1.28	-0.000588488	1.3326E-07	-0.000588621
1.29	-0.000561647	1.21379E-07	-0.000561769
1.3	-0.000536224	1.10636E-07	-0.000536334
1.31	-0.000512133	1.00917E-07	-0.000512234
1.32	-0.000489295	9.21152E-08	-0.000489387
1.33	-0.000467636	8.41393E-08	-0.00046772
1.34	-0.000447087	7.69061E-08	-0.000447164
1.35	-0.000427584	7.03417E-08	-0.000427655
1.36	-0.000409067	6.43801E-08	-0.000409131
1.37	-0.000391478	5.89619E-08	-0.000391537
1.38	-0.000374765	5.40343E-08	-0.000374819
1.39	-0.000358878	4.95497E-08	-0.000358928
1.4	-0.000343772	4.54655E-08	-0.000343817
1.41	-0.000329402	4.17435E-08	-0.000329444
1.42	-0.000315728	3.83494E-08	-0.000315766
1.43	-0.000302712	3.52522E-08	-0.000302747
1.44	-0.000290317	3.24241E-08	-0.000290349
1.45	-0.00027851	2.98402E-08	-0.00027854
1.46	-0.00026726	2.74779E-08	-0.000267288
1.47	-0.000256536	2.53169E-08	-0.000256562
1.48	-0.000246311	2.33388E-08	-0.000246335
1.49	-0.000236559	2.1527E-08	-0.00023658
1.5	-0.000227253	1.98666E-08	-0.000227273
1.51	-0.000218372	1.8344E-08	-0.000218391
1.52	-0.000209894	1.69471E-08	-0.000209911
1.53	-0.000201796	1.56647E-08	-0.000201812
1.54	-0.000194061	1.44867E-08	-0.000194076
1.55	-0.00018667	1.34041E-08	-0.000186683
1.56	-0.000179605	1.24086E-08	-0.000179617
1.57	-0.00017285	1.14927E-08	-0.000172861
1.58	-0.000166389	1.06496E-08	-0.0001664
1.59	-0.000160209	9.87308E-09	-0.000160219
1.6	-0.000154294	9.15753E-09	-0.000154304
1.61	-0.000148633	8.49783E-09	-0.000148642
1.62	-0.000143213	7.88929E-09	-0.000143221
1.63	-0.000138022	7.32769E-09	-0.000138029
1.64	-0.000133049	6.80914E-09	-0.000133055
1.65	-0.000128283	6.33011E-09	-0.00012829
1.66	-0.000123716	5.88737E-09	-0.000123722
1.67	-0.000119338	5.47798E-09	-0.000119343
1.68	-0.000115139	5.09926E-09	-0.000115144
1.69	-0.000111111	4.74873E-09	-0.000111116
1.7	-0.000107247	4.42416E-09	-0.000107251
1.71	-0.000103539	4.12349E-09	-0.000103543
1.72	-9.99789E-05	3.84483E-09	-9.99828E-05
1.73	-9.65613E-05	3.58645E-09	-9.65649E-05
1.74	-9.32792E-05	3.34678E-09	-9.32825E-05
1.75	-9.01265E-05	3.12436E-09	-9.01296E-05
1.76	-8.70974E-05	2.91787E-09	-8.71003E-05
1.77	-8.41864E-05	2.72608E-09	-8.41892E-05
1.78	-8.13883E-05	2.54788E-09	-8.13909E-05
1.79	-7.86981E-05	2.38222E-09	-7.87005E-05
1.8	-7.61111E-05	2.22817E-09	-7.61133E-05
1.81	-7.36228E-05	2.08485E-09	-7.36248E-05
1.82	-7.12288E-05	1.95147E-09	-7.12307E-05
1.83	-6.89252E-05	1.82728E-09	-6.8927E-05
1.84	-6.6708E-05	1.71161E-09	-6.67097E-05
1.85	-6.45736E-05	1.60383E-09	-6.45752E-05
1.86	-6.25184E-05	1.50336E-09	-6.25199E-05
1.87	-6.05391E-05	1.40968E-09	-6.05405E-05
1.88	-5.86326E-05	1.32228E-09	-5.86339E-05
1.89	-5.67957E-05	1.24073E-09	-5.6797E-05
1.9	-5.50256E-05	1.1646E-09	-5.50268E-05
1.91	-5.33196E-05	1.0935E-09	-5.33207E-05
1.92	-5.16749E-05	1.02708E-09	-5.1676E-05
1.93	-5.00891E-05	9.65007E-10	-5.00901E-05
1.94	-4.85599E-05	9.0698E-10	-4.85608E-05
1.95	-4.70848E-05	8.52713E-10	-4.70856E-05
1.96	-4.56617E-05	8.01947E-10	-4.56625E-05
1.97	-4.42885E-05	7.54438E-10	-4.42893E-05
1.98	-4.29633E-05	7.09964E-10	-4.2964E-05
1.99	-4.16841E-05	6.68315E-10	-4.16848E-05
2	-4.04491E-05	6.29301E-10	-4.04498E-05
